Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-03-21;LA2;20:04;CONSTRUCCIONES ECOLOGICAS / CAMUFLADOS;164.000;1.3%;
2019-03-21;LA2;20:30;LA 2 NOTICIAS;184.000;1.3%;
2019-03-21;LA2;21:02;ATENCION OBRAS;175.000;1.1%;
2019-03-21;LA2;21:32;ESE PROGRAMA DEL QUE USTED ME HABLA;135.000;0.8%;
2019-03-21;LA2;22:05;GALA DE ELECCION DRAG QUEEN MASPALOMAS;419.000;2.7%;
2019-03-21;LA2;00:35;ACCESO AUTORIZADO / LIBANO;84.000;1.3%;
2019-03-21;LA2;01:33;CONCIERTOS RADIO 3 / KIKI D'AKI;29.000;0.8%;
2019-03-21;LA2;02:04;ESE PROGRAMA DEL QUE USTED ME HABLA;15.000;0.6%;
2019-03-22;LA2;07:05;PASEOS HISTORICOS / WASHINGTON D.C.,MONUMENTOS E ICONOS:LA LUCHA POR LA LIBERTAD;14.000;1.3%;
2019-03-22;LA2;07:30;INGLES ONLINE TVE;16.000;1%;
2019-03-22;LA2;07:59;GRANDES VIAJES FERROVIARIOS CONTINENTALES / DE BARCELONA A MALLORCA;25.000;1.1%;
2019-03-22;LA2;08:58;EL SEĂOR DE LOS BOSQUES / GARGANTILLA DEL LOZOYA,MADRID;38.000;1.8%;
2019-03-22;LA2;09:30;AQUI HAY TRABAJO;38.000;1.6%;
2019-03-22;LA2;09:56;TV UNED;23.000;0.9%;
2019-03-22;LA2;10:54;D.REG(CUADERNOS DE PASO) / CUADERNO DE ORBANEJA;33.000;1.1%;
2019-03-22;LA2;10:54;CUADERNOS DE PASO / CUADERNO DE ORBANEJA;31.000;1.1%;
2019-03-22;LA2;10:54;EL CAĂADOR DE VERITATS;3.000;0.1%;
2019-03-22;LA2;11:23;CARRARIUS;0;0%;
2019-03-22;LA2;11:52;50 AĂOS DE... / LA FAMILIA;47.000;1.5%;
2019-03-22;LA2;12:20;LA AVENTURA DEL SABER EXPRESS;46.000;1.3%;
2019-03-22;LA2;12:42;MAĂANAS DE CINE / VEINTE PASOS PARA LA MUERTE;211.000;4.1%;
2019-03-22;LA2;14:02;S.O.S ALIMENTOS,KARRA AL RESCATE / ZARAGOZA;162.000;1.8%;
2019-03-22;LA2;14:49;LAS RUTAS D'AMBROSIO / TIERRA DE CAMPOS;212.000;1.8%;
2019-03-22;LA2;15:47;SABER Y GANAR;884.000;7.7%;
2019-03-22;LA2;16:31;GRANDES DOCUMENTALES;485.000;4.8%;
2019-03-22;LA2;16:31;LOS TESOROS DEL INDO / PAKISTAN OCULTO;535.000;5%;
2019-03-22;LA2;17:14;ITALIA:CIUDADES OCULTAS / NAPOLES;494.000;5%;
2019-03-22;LA2;18:07;NACIDO EXPLORADOR / TANZANIA:TRIBUS REMOTAS;389.000;4.2%;
2019-03-22;LA2;18:36;EL ESCARABAJO VERDE / EL SECRETO DEL PULPO;358.000;4%;
2019-03-22;LA2;19:07;LAS RECETAS DE JULIE / COLLIURE-LANGUEDOC;322.000;3.5%;
2019-03-22;LA2;19:59;PUNTS DE VISTA / DAVID ESPINOSA;18.000;0.2%;
2019-03-22;LA2;20:01;D.REG(CONSTRUCCIONES ECOLOGICAS);189.000;1.8%;
2019-03-22;LA2;20:01;CONSTRUCCIONES ECOLOGICAS;172.000;1.7%;
2019-03-22;LA2;20:28;DIAS DE CINE;160.000;1.3%;
2019-03-22;LA2;21:27;ESE PROGRAMA DEL QUE USTED ME HABLA;200.000;1.3%;
2019-03-22;LA2;21:57;LA SUERTE EN TUS MANOS;265.000;1.7%;
2019-03-22;LA2;22:15;HISTORIA DE NUESTRO CINE:PRESENTACION / MAYORES CON REPAROS;334.000;2.2%;
2019-03-22;LA2;22:20;HISTORIA DE NUESTRO CINE:PELICULA / MAYORES CON REPAROS;373.000;2.4%;
2019-03-22;LA2;23:47;HISTORIA DE NUESTRO CINE:COLOQUIO / TEATRO Y CINE;160.000;1.3%;
2019-03-22;LA2;00:06;CINE / CARICIAS;132.000;1.6%;
2019-03-22;LA2;01:35;ESE PROGRAMA DEL QUE USTED ME HABLA;47.000;1.1%;
2019-03-22;LA2;02:08;LA NOCHE TEMATICA;29.000;0.9%;
2019-03-22;LA2;02:08;REBELION EN LA MODA;29.000;0.9%;
2019-03-23;LA2;No disponemos de datos de audiencias para la fecha solicitada.;
2019-03-21;LA2;07:00;ZOOM TENDENCIAS;10.000;1%;
